year	babyDeath	babyBirth	lifeMan	lifeWoman
1960	142	47.62	42	46
1961	140	47.71	43	47
1962	138	47.83	43	47
1963	136	48	43	47
1964	134	48.19	43	47
1965	131	48.4	44	48
1966	129	48.61	44	48
1967	127	48.82	45	48
1968	124	49.01	45	49
1969	122	49.16	46	49
1970	119	49.26	46	50
1971	117	49.31	47	51
1972	113	49.29	47	51
1973	110	49.22	48	52
1974	106	49.11	48	52
1975	102	48.96	49	53
1976	98	48.79	50	54
1977	94	48.61	50	54
1978	90	48.44	51	55
1979	87	48.28	52	56
1980	84	48.13	52	56
1981	80	48.01	53	57
1982	77	47.89	54	58
1983	73	47.76	54	58
1984	69	47.58	55	59
1985	65	47.31	56	59
1986	62	46.88	56	60
1987	59	46.26	57	60
1988	58	45.46	57	61
1989	56	44.47	58	61
1990	56	43.31	58	61
1991	57	42.02	58	61
1992	59	40.65	58	61
1993	61	39.28	57	60
1994	65	37.95	56	59
1995	69	36.71	55	58
1996	73	35.6	54	56
1997	76	34.62	52	54
1998	79	33.78	51	53
1999	82	33.07	49	51
2000	84	32.53	48	49
2001	85	32.13	47	48
2002	86	31.86	46	47
2003	86	31.68	46	46
2004	85	31.56	46	46
2005	83	31.49	46	46
2006	77	31.43	46	46
2007	75	31.36	47	47
2008	73	31.26	48	47
2009	66	31.13	48	48
2010	59	30.94	49	48
2011	54	30.7	49	48
2012	52	30.41	49	48
2013	48	30.09	50	48
