keyword	year	number
京津冀	1982	1
京津冀	1983	6
京津冀	1985	2
京津冀	1986	2
京津冀	1989	1
京津冀	1990	3
京津冀	1991	8
京津冀	1992	7
京津冀	1993	3
京津冀	1994	21
京津冀	1995	39
京津冀	1996	35
京津冀	1997	13
京津冀	1998	8
京津冀	1999	12
京津冀	2000	8
京津冀	2001	13
京津冀	2002	31
京津冀	2003	42
京津冀	2004	69
京津冀	2005	77
京津冀	2006	88
京津冀	2007	144
京津冀	2008	145
京津冀	2009	191
京津冀	2010	232
京津冀	2011	220
京津冀	2012	233
京津冀	2013	332
京津冀	2014	1027
京津冀	2015	1594
京津冀	2016	1766
京津冀	2017	1922
京津冀	2018	270
江浙沪	1984	2
江浙沪	1985	1
江浙沪	1986	1
江浙沪	1987	1
江浙沪	1988	2
江浙沪	1989	4
江浙沪	1991	1
江浙沪	1992	4
江浙沪	1994	3
江浙沪	1995	1
江浙沪	1996	2
江浙沪	1997	4
江浙沪	1998	3
江浙沪	1999	6
江浙沪	2000	36
江浙沪	2001	30
江浙沪	2002	64
江浙沪	2003	200
江浙沪	2004	184
江浙沪	2005	179
江浙沪	2006	308
江浙沪	2007	316
江浙沪	2008	280
江浙沪	2009	234
江浙沪	2010	241
江浙沪	2011	222
江浙沪	2012	181
江浙沪	2013	230
江浙沪	2014	205
江浙沪	2015	252
江浙沪	2016	276
江浙沪	2017	267
江浙沪	2018	49
