keyword	year	number
京津冀	1991	2
京津冀	2002	6
京津冀	2003	2
京津冀	2004	3
京津冀	2005	13
京津冀	2006	21
京津冀	2007	44
京津冀	2008	55
京津冀	2009	81
京津冀	2010	82
京津冀	2011	91
京津冀	2012	88
京津冀	2013	94
京津冀	2014	299
京津冀	2015	627
京津冀	2016	766
京津冀	2017	192
江浙沪	1966	1
江浙沪	1974	1
江浙沪	1983	2
江浙沪	1984	2
江浙沪	1985	5
江浙沪	1986	3
江浙沪	1987	9
江浙沪	1988	11
江浙沪	1989	16
江浙沪	1990	15
江浙沪	1991	10
江浙沪	1992	10
江浙沪	1993	8
江浙沪	1994	20
江浙沪	1995	30
江浙沪	1996	24
江浙沪	1997	31
江浙沪	1998	25
江浙沪	1999	36
江浙沪	2000	81
江浙沪	2001	55
江浙沪	2002	108
江浙沪	2003	294
江浙沪	2004	285
江浙沪	2005	276
江浙沪	2006	395
江浙沪	2007	412
江浙沪	2008	391
江浙沪	2009	327
江浙沪	2010	332
江浙沪	2011	294
江浙沪	2012	240
江浙沪	2013	336
江浙沪	2014	341
江浙沪	2015	418
江浙沪	2016	435
江浙沪	2017	93
