keyword	year	number
京津冀	1982	1
京津冀	1983	6
京津冀	1985	2
京津冀	1986	2
京津冀	1989	1
京津冀	1990	3
京津冀	1991	9
京津冀	1992	7
京津冀	1993	3
京津冀	1994	21
京津冀	1995	37
京津冀	1996	34
京津冀	1997	13
京津冀	1998	8
京津冀	1999	12
京津冀	2000	8
京津冀	2001	13
京津冀	2002	31
京津冀	2003	42
京津冀	2004	69
京津冀	2005	77
京津冀	2006	87
京津冀	2007	145
京津冀	2008	145
京津冀	2009	192
京津冀	2010	231
京津冀	2011	219
京津冀	2012	233
京津冀	2013	326
京津冀	2014	1016
京津冀	2015	1563
京津冀	2016	1739
京津冀	2017	1993
京津冀	2018	1126
京津冀	2019	3
江浙沪	1984	1
江浙沪	1985	1
江浙沪	1986	1
江浙沪	1987	1
江浙沪	1988	2
江浙沪	1989	4
江浙沪	1991	1
江浙沪	1992	3
江浙沪	1994	3
江浙沪	1995	1
江浙沪	1996	2
江浙沪	1997	4
江浙沪	1998	3
江浙沪	1999	6
江浙沪	2000	2
江浙沪	2001	10
江浙沪	2002	12
江浙沪	2003	25
江浙沪	2004	16
江浙沪	2005	22
江浙沪	2006	20
江浙沪	2007	16
江浙沪	2008	15
江浙沪	2009	27
江浙沪	2010	17
江浙沪	2011	32
江浙沪	2012	39
江浙沪	2013	68
江浙沪	2014	54
江浙沪	2015	57
江浙沪	2016	63
江浙沪	2017	51
江浙沪	2018	34
雾霾	2006	1
雾霾	2007	2
雾霾	2009	3
雾霾	2010	11
雾霾	2011	3
雾霾	2012	15
雾霾	2013	438
雾霾	2014	1013
雾霾	2015	854
雾霾	2016	876
雾霾	2017	725
雾霾	2018	234
